,CSUSHPISA,MORTGAGE30US,REAINTRATREARAT10Y,PSAVERT,CURRCIR,M2SL,INDPRO,UNRATE,CIVPART,CPIAUCSL,MICH,PCE,DSPIC96,TTLHHM156N,TOTALSL,DPSACBW027SBOG,MSACSR,SPREAD,GDPn,GDPr,GFC,Covid
1992-01-01,76.087,8.43,3.19854245,9.5,304.146,3381.2,61.4898,7.3,66.3,138.3,2.7,4084.7,7474.8,95776.0,798.98271,2473.1532,5.2,3.0,6315.72506222142,10177.8479087833,0,0
1992-02-01,76.156,8.76,3.62829159,9.8,301.542,3400.0,61.9299,7.4,66.2,138.6,2.6,4099.5,7507.2,95888.0,799.64038,2484.728,4.9,3.2800000000000002,6356.50307332598,10222.8681197931,0,0
1992-03-01,76.278,8.94,3.66026498,9.7,302.653,3403.9,62.449,7.4,66.4,139.1,2.6,4117.0,7513.8,95984.0,799.44211,2495.0398,6.1,3.56,6417.07786444543,10307.994876135,0,0
1992-04-01,76.346,8.85,3.78985987,9.8,305.007,3399.7,62.9312,7.4,66.5,139.4,3.0,4131.5,7535.0,96309.0,797.65814,2495.1205,6.1,3.7500000000000004,6443.25954373995,10314.3633666318,0,0
1992-05-01,76.399,8.67,3.74616997,9.8,307.8,3398.6,63.1359,7.6,66.6,139.7,2.9,4158.4,7570.2,96456.0,797.6679,2484.9213,6.0,3.57,6433.81019478882,10293.4286588597,0,0
1992-06-01,76.332,8.51,3.56857666,10.0,310.16,3393.4,63.1736,7.8,66.7,140.1,3.1,4177.1,7601.6,96586.0,797.27631,2480.2435,5.6,3.5,6535.21926146815,10433.8384122227,0,0
1992-07-01,76.264,8.13,3.35309944,9.5,313.067,3393.9,63.7408,7.7,66.7,140.5,2.7,4204.8,7595.9,96426.0,798.06816,2483.2688,5.3,3.59,6557.30366628735,10451.4014033632,0,0
1992-08-01,76.23100000000001,7.98,3.1248226,9.6,315.648,3398.8,63.3917,7.6,66.6,140.8,2.8,4220.9,7622.6,96383.0,799.8238,2485.1734,5.2,3.29,6556.89580685995,10431.1558914881,0,0
1992-09-01,76.23899999999999,7.92,2.95734236,8.6,318.242,3410.3,63.5927,7.6,66.5,141.1,3.0,4255.3,7586.9,96469.0,800.1989,2488.5423,5.0,3.1999999999999997,6585.72352684266,10465.8396872821,0,0
1992-10-01,76.377,8.09,2.72804375,7.9,320.192,3423.8,64.0282,7.3,66.2,141.7,2.8,4284.7,7537.9,96674.0,799.55599,2496.8837,5.1,3.4899999999999998,6637.24071676662,10525.040280529,0,0
